AreaId;Receipt;TransactionDate;BeginHour;EAN;Quantity;PersonAgeGrp;KCustomer;QualClass;EasyClass
1;356341113181337;2017-11-05;12;6413466126704;1,000000;35-44;6712;Q_1-3;E_4-7
1;356269217607293;2017-11-04;13;6412000033188;2,000000;55-64;6712;Q_4-7;E_4-7
1;355948941143419;2017-11-02;15;6414887175043;2,000000;55-64;6712;Q_4-7;E_4-7
1;356230602503626;2017-11-04;16;6437002001454;2,000000;55-64;6712;Q_8-10;E_8-10
1;356527636531489;2017-11-06;17;6410405050458;1,000000;25-34;6712;Q_1-3;E_4-7
1;356358759727141;2017-11-05;14;7622100938088;2,000000;45-54;6712;Q_8-10;E_1-3
1;356443024679128;2017-11-06;17;6412000031740;2,000000;55-64;6712;Q_4-7;E_8-10
1;355833823468989;2017-11-01;19;6415350002743;2,000000;25-34;6712;Q_4-7;E_1-3
1;356341113181337;2017-11-05;12;6408430000449;1,000000;35-44;6712;Q_1-3;E_4-7
1;356269217607293;2017-11-04;13;6408430024957;1,000000;55-64;6712;Q_4-7;E_4-7
1;355948941143419;2017-11-02;15;6410405112859;1,000000;55-64;6712;Q_4-7;E_4-7
1;356230602503626;2017-11-04;16;6409770080054;2,000000;55-64;6712;Q_8-10;E_8-10
1;356527636531489;2017-11-06;17;6415600502108;1,000000;25-34;6712;Q_1-3;E_4-7
1;356358759727141;2017-11-05;14;6410405082657;2,000000;45-54;6712;Q_8-10;E_1-3
1;356443024679128;2017-11-06;17;4014400902662;1,000000;55-64;6712;Q_4-7;E_8-10
1;356179246715476;2017-11-03;16;7310090375180;2,000000;45-54;6712;Q_4-7;E_4-7
1;355833823468989;2017-11-01;19;2000973900008;1,000000;25-34;6712;Q_4-7;E_1-3
1;356341113181337;2017-11-05;12;6416021000389;2,000000;35-44;6712;Q_1-3;E_4-7
1;356269217607293;2017-11-04;13;7613034977045;2,000000;55-64;6712;Q_4-7;E_4-7
1;355948941143419;2017-11-02;15;6410405174567;1,000000;55-64;6712;Q_4-7;E_4-7
1;356230602503626;2017-11-04;16;2000604700007;0,436000;55-64;6712;Q_8-10;E_8-10
1;356527636531489;2017-11-06;17;6410402017270;2,000000;25-34;6712;Q_1-3;E_4-7
1;356358759727141;2017-11-05;14;6410405118592;1,000000;45-54;6712;Q_8-10;E_1-3
1;356443024679128;2017-11-06;17;6410405060457;2,000000;55-64;6712;Q_4-7;E_8-10
1;356179246715476;2017-11-03;16;6416453073760;2,000000;45-54;6712;Q_4-7;E_4-7
1;355833823468989;2017-11-01;19;6437005068386;2,000000;25-34;6712;Q_4-7;E_1-3
1;356341113181337;2017-11-05;12;6416453014923;2,000000;35-44;6712;Q_1-3;E_4-7
1;356269217607293;2017-11-04;13;6408430023790;2,000000;55-64;6712;Q_4-7;E_4-7
1;355948941143419;2017-11-02;15;6410405095916;1,000000;55-64;6712;Q_4-7;E_4-7
1;356230602503626;2017-11-04;16;6408641114904;1,000000;55-64;6712;Q_8-10;E_8-10
