name,price,ean
Elvital shampoo 250ml color-vive,2.89,5410103915654
error,,24000017677
"K-Menu greippilonkero 4,7% 0,5l tlk",1.8,6410405118639
"Tölkkipantti 0,15 0,33l-0,5l",0.15,2000973900008
Trip juoma 2dl appelsiini,0.44,6415131402311
Pirkka rasvaton maito 1 l,0.59,6410405082626
Ryhmäkoodi alv 24%,0.0,2000588800007
"Karhu olut 4,6% 0,33l tlk SI",1.14,6415600026628
,,6431903315252
Pirkka laktoositon kevytmaitojuoma 1 l,1.2,6410405095893
Hyvä suom Arki Eila rasvaton maitojuo 1l,1.25,6408430000494
Vaasan 100% kaura 6kpl/400g,1.85,6437005058516
Salaattiannos itsepalvelu,14.9,2000265000003
Hätälä lohifilee A Norja vac,12.95,2387975700004
Atria italiansalaatti 400g,1.5,6407860063956
mywear turtle Ruth sininen L,3.0,6438242999693
,,6416021000389
Myllyn Paras voitaikinalevy 500g,3.35,6417700050251
Satsuma,1.89,2000528000009
Pirkka kuohukerma 2dl laktoositon,0.99,6410405142610
"Pirkka klementiini 1,5kg",2.99,6410405045010
Pirkka herne-maissi-paprika 200g,0.49,6410405044860
Fazer mini merkkari 80g original,0.99,6416453028302
"Aino jäätelö 0,9l suklaa mmarja lakt",5.35,6430064400814
P&S savuke 27kpl Blue,8.4,6410105905195
Pirkka kanelikorppu 400g sahattu,1.49,6410405071507
,,6438706171245
"Saku olut 4,4% 0,33l tlk SI",0.83,6415600541183
Valio Eila maitojuoma 1l lakton rton,1.95,6408430000241
Taffel dippi 13g creamy pepper,0.89,6410381095542
Puikulaperuna,1.89,2000617800008
Peruna pesty kiinteä,1.29,2000680900001
Pirkka ESSI kiertokassi valkoinen 40l,0.2,6410405187734
Valio Eila kermavan 120g app-sukl lton,1.15,6408430406975
Risetti pellavansiemenrouhe 400g suomal,1.45,6418510000917
Pirkka vadelma 200g,1.69,6410405087065
Tupla Maxi suklaapatukka 50g UTZ,0.67,6420256014134
Veikkausmyynti,0.0,2000985500005
mywear trikoopaita Belle 3/4hihat mu,5.0,6438242920406
Valio kreik jog 150g uuniomena lton,0.99,6408430024957
Peruna pesty kiinteä,1.29,2000680900001
Myllyn Paras lihapasteija 9kpl/450g,2.99,6417700061066
"Paistopiste hintaryhmä: 0,99",0.0,6410405142276
K-citymarket muovikassi 40l valkoinen,0.2,6430024140972
Atria KA lihamakaronilaatikko 400g,1.55,6407850059136
error,,64027173
Marianne pussi 220g,2.69,6410803642019
Pirkka virike kananmuna M6 348g,0.99,6410405108319
Maustekurkku Herkkumaa,3.95,2000218500000
"Tölkkipantti 0,15 0,33l-0,5l",0.15,2000973900008
Bic 1 varsiterä 10kpl sensitive,2.79,3086125705119
Provena kaura-porkkanasämp 400g glton,3.39,6411200107446
Exotic irtosnacks kg,18.9,2000967100001
"Tölkkipantti 0,15 0,33l-0,5l",0.15,2000973900008
Sipuli irto,1.19,2000613700005
P&S savuke 20kpl White,6.0,6410105902460
Valio Polar® Vähemmän suolaa 15 % e270 g,3.99,6408430340361
Fazer maitosuklaa rasia 320g,3.99,6411401016073
Apetit Pizza 2x280g Romeo twin metw-kink,0.0,6430104958213
Atria naudan uunipata 700g,9.85,6407820024379
Pirkka Banaani/Del monte 1lk,1.39,2000818700008
Pirkka Banaani/Del monte 1lk,1.39,2000818700008
Hopeatoffee pussi 169g lakritsitoffee,2.09,6420256013212
,,6430010764007
Pirkka lautanen 18cm 50kpl Viiri harmaa,2.7,6410405192097
Juhla Mokkakahvi 500g sj,3.95,6411300000494
Pirkka kirjolohikiusaus 300g,1.99,6410402025602
Gefilus hedelmämehu 1l 5-hedelmää,2.19,6408430064885
,,6411090041035
Valiojogurtti 200g mustikka,0.51,6408430002283
Vaasan ruispalat ohut herkku 12kpl /390g,2.39,6408180733901
Taffel Sips 325g poimuperunalastu,2.59,6410381090561
Pirkka laktoositon kevytmaitojuoma 1 l,1.2,6410405095893
Vaasan lounassämpylä 8kpl/320g vaalea,0.0,6437005050169
Nauta paahtopaisti,18.9,2000104300004
Karl Fazer maitosuklaapatukka 39g,0.68,6411401019012
K-Menu suolapähkinät 500g,2.15,6410405157492
Pirkka rasvaton maito 1 l,0.59,6410405082626
Vaasan lounassämpylä 8kpl/320g vaalea,0.0,6437005050169
Pirkka 5dl kuohukerma lakton TK,2.39,6410405121080
HK Popsi kevyt 10 nakkimakkara 300g,1.65,6409100060985
"A.Le Coq Premium 4,5% 0,5l",1.84,6419800020899
Fazer Real 420g ruis täysjyväruisleipä,1.99,6411402117700
Pirkka kevytmaito 1 l,0.81,6410405082657
Nauris 1kg,2.95,6415350000725
Aura sinihomejuusto 170g,2.79,6408430037001
Apetit pizza 2x280g kinkk-ananas twin,4.35,6430104958206
Valio Eila kermavanukas 120 g mango,1.15,6408430044269
Pirkka kielileikkele 200g,1.89,6410405179029
Valio pehmeä maitorahka 250 g lakton,1.59,6408430042869
Nauta paahtopaisti riip min 6 vko,0.0,2000908100008
Nicorette imeskelytabl 4mg 20kpl icemint,8.99,3574660719628
Felix ketchup 1kg,3.09,7310240651287
,,6430017808001
Atria kinkku-ananaspizza 200g,0.89,6407860062287
Danone Actimel tehojuoma 4x100g metsäm,2.29,5410146409318
Kulta Katriina kahvi 500g sj,3.45,6420101441542
Pirkka Banaani/Del monte 1lk,1.39,2000818700008
Saarioinen savuporo-juustokeitto 300g,1.99,6412000031771
Popsi iso viitonen 900g kuoreton,3.29,6409100060749
Pirkka kevytmaito 1 l,0.81,6410405082657
Kesäperuna pesty,1.29,2000624700001
Pirkka broileria kerma currykastike 300g,1.99,6410405138187
,,6438706177346
,,6438706172549
Satsuma,1.89,2000528000009
Shampion,0.99,2000554900007
Kalinka kerrosjog 150g persikka-lakka vl,0.51,6413300018004
Hätälä lohifilee A Norja vac,12.95,2387975700004
Shampion,0.99,2000554900007
Pirkka grillimakkara 400g,1.85,6410405087591
Tomaatti Suomi,2.75,2000614400003
,,2393151300005
"Pirkka kivennäisvesi metsämansi 1,5l kmp",0.75,6410405069146
"Pullopantti 0,10",0.1,2000988000007
"Pirkka III-olut 0,33l 4,5% tlk SI",0.93,6410405091260
Bonus savuketupakka 40g Vaalea Klass Max,8.3,6410105904839
Peruna Suomi,1.89,2000609800009
Pirkka miniluumutomaatti 250g,1.39,6410405060457
Pirkka riisipiirakka 9kpl/585g,1.85,6408641027488
Pirkka mansikka- ja vaniljapuikot 16x37g,2.99,6410405124333
Bibo kahvikuppi 18cl 50kpl säästö,1.5,6410607131696
Magnum Classic 440ml,4.65,8714100289969
"Tölkkipantti 0,15 0,33l-0,5l",0.15,2000973900008
Hätälä lohifilee A Norja vac,12.95,2387975700004
Pirkka Banaani/Del monte 1lk,1.39,2000818700008
Forssan punajuurisalaatti 400g,1.95,6409460002779
K-citymarket muovikassi 40l valkoinen,0.2,6430024140972
HK sininen lenkki 580g,2.79,6409100050306
Valio Hyvä suom Arki kevytmaitojuoma 1l,0.89,6408430000449
Serla Hellä WC-paperi 8 rl valkoinen,3.4,6414301024797
Pirkka laktoositon kevytmaitojuoma 1 l,1.2,6410405095893
Pirkka piimä 1l laktoositon,1.29,6410405170866
Pirkka omena-kaneliriisi 175g,0.59,6410405091543
Elovena kaurahiutale 1kg,1.59,6416597113919
Trip juoma 2dl vadelma,0.44,6415131402342
,,6416021000389
"Tölkkipantti 0,15 0,33l-0,5l",0.15,2000973900008
Pirkka porkkana 500g Suomi 1lk,0.95,6410402008919
"Silakkafile, Suomi, PYYDETTY",11.9,2000405900002
Aura sinihomejuusto 170g,2.79,6408430037001
Valio vapaan lehmän täysmaito 1l,1.25,6408430000135
Pirkka rasvaton maito 1 l,0.59,6410405082626
Billy's pan pizza 4x170g original,6.25,7310960024873
Vataja lisäaineeton nakki 280g,3.49,6406970000820
Fazer New York 130g iced coffee mudcake,1.89,6416453018228
Taffel Sips 325g poimuperunalastu,2.59,6410381090561
Pirkka Banaani/Del monte 1lk,1.39,2000818700008
Pirkka rasvaton maito 1 l,0.59,6410405082626
,,6416021000389
Billy's pan pizza 170g pepperoni,1.75,7310960718116
Pirkka kirjolohikiusaus 300g,1.99,6410402025602
Luomu Banaani Pirkka Reilun kaupan,1.89,2000686300003
Valio kevytmaito 1l,0.99,6408430000128
Pirkka virike kananmuna M10 580g,1.55,6410405085627
Pirkka kaali-kurpitsasalaatti 300g,1.95,6410402005284
Tuorekurkku Suomi.,2.79,2000604700007
Juhla Mokka kahvi 500g pj,3.95,6411300000487
,,6411750010180
Valio Eila maitojuoma 1l lakton rton,1.95,6408430000241
Danonino jogurttijuoma 4x100g mansikka,1.99,5410146413605
,,6438706274649
K-Menu palvi 500g,2.89,6410405155559
Fazer Real 420g ruis täysjyväruisleipä,1.99,6411402117700
Tupla 48g Double Layer Caramel UTZ,0.67,6420256014714
Porkkana pesty 1lk,1.49,2000610500004
ES tonnikalahiutale 185/140g öljyssä,0.95,6410405172433
Järvikylä jääsalaatti pss Suomi 1lk 48h,1.29,6416046670000
Dronningholm Tähtitorttu luumu 300g,1.25,6412000017003
Best-In 1kg lihamureke,3.35,6438019090547
Rizla savukepaperi 50kpl Red,1.5,6410105296255
"Tölkkipantti 0,15 0,33l-0,5l",0.15,2000973900008
K-citymarket muovikassi 40l valkoinen,0.2,6430024140972
Yosa 2x125g Persik-Passio kauravalm,1.55,6410220003073
Muikku perattu,5.95,2000442300001
"Valio Hyvä suomalainen Arkijuusto 1,25kg",5.29,6408430337590
Kulta Katriina kahvi 500g sj,3.45,6420101441542
Oululainen pullava 450g viipaloitu,2.69,6411402232304
Pirkka Costa Rica kahvi 500g sj UTZ,2.89,6410405181190
Pirkka riisipiirakka 9kpl/585g,1.85,6408641027488
"Sininen 4,5% olut 0,5l tlk",2.54,6413600007296
Golden omena Pirkka,1.89,2000797100004
Saarioinen kantarellikeitto 300g,1.99,6412000031962
Ortis Fructolax hedelmäkuituk 240g 24kpl,17.5,5411386880349
,,6420618820403
Satsuma,1.89,2000528000009
Kivikylä palvarin lihapyörykkä 350g,2.49,6406300009608
Atria punajuurisalaatti 400g kevyt,2.15,6407860064236
Kulta Katriina kahvi 500g sj,3.45,6420101441542
Panda lakritsipussi 250g lakupala,1.59,6412500075206
Fazer Paahto 505g viisi viljaa,1.99,6411402159403
Valio Play Viilis 200g hedelmäpommi lton,0.63,6408430040063
Valio Eila vispikerma 5dl UHT laktoosito,4.25,6408430014941
Pirkka Banaani/Del monte 1lk,1.39,2000818700008
Valio Gefilus piimä 1% rasvaa 1l lakton,1.65,6408430001859
"Paistopiste hintaryhmä: 1,49",0.0,6410405142283
"Pullopantti KMP 0,40 1,0L tai yli",0.4,6408641827200
error,,87108064
Pirkka appelsiinijuoma 2dl,0.29,6410405049346
Juhla Mokkakahvi 500g sj,3.95,6411300000494
Lohi tuore kg Norja,11.99,2000410100008
Grand pan pizza 560g classic,4.89,7039010543330
Juhla Mokkakahvi 500g sj,3.95,6411300000494
,,6416021000389
Veikkausmyynti kpl,0.0,2000940900000
Kulta Katriina kahvi 500g sj tummapaahto,3.45,6420101145549
Kivikylä palvarin lindströminpihvit 380g,3.15,6406300009769
Pirkka kevytmaito 1 l,0.81,6410405082657
Valio vapaan lehmän rasvaton maito 1l,0.95,6408430000104
Atria PT kanan ohut fileeleike 600g huna,7.55,6407810014311
"Tölkkipantti 0,15 0,33l-0,5l",0.15,2000973900008
Pirkka yleisteippi 12mmx10m,0.5,6410400033777
PORVOON HERKKU LAKRITSI,7.56,2000960300002
,,6416021000389
Jääsalaatti 100g pussi Suomi 1lk,0.99,6415350002118
Luontoarpa,3.0,6417326001439
error,,59064350
Pirkka rasvaton piimä 1 l,1.05,6410405079626
,,6408430000623
Kariniemen kp min pihvi 290g mton,5.65,6409100026677
MAGGI Lihaliemi 100g 10palaa,1.35,8585002411952
Porkkana pesty 1lk,1.49,2000610500004
Pirkka piparkakku 350g,1.69,6410405085757
Pirkka Valkokaalin pala,2.79,2000649400009
Fazer Vihreitä kuulia rasia 500g,5.99,6411401042317
Kismet suklaapatukka 55g Marianne,0.59,6416453014923
"Pirkka klementiini 1,5kg",2.99,6410405045010
"Olvi III olut 4,5% 0,33l plo SI",1.19,6419800003465
Atria viljaporsaan filee minsuikale 350g,4.49,6407820023891
Broilerin koipi kg,7.9,2000196500009
error,,64025575
"Valio kahvikerma 3,3dl 10% lkton",2.15,6408430014484
"Silakkafile, Suomi, PYYDETTY",11.9,2000405900002
Kivikylä palvarin lihapyörykkä 350g,2.49,6406300009608
Bliw nestesaippua 300ml pump Puna-ap vad,1.79,7310618427001
Pirkka kuohukerma 2dl laktoositon,0.99,6410405142610
Pirkka broilerikiusaus 300g,1.99,6410402025565
Keiju kasvirasvalevite 600g lton 70%,1.99,6438207011620
"Sandels 4,7% 0,33l 24-pack tlk",26.4,6419802020491
Pirkka astianpesuaine 500ml hajusteeton,1.29,6410405148353
Abba tonnikala 200/150g öljyssä MSC,2.99,7311171007006
Nauta sisäpaisti koko/pala,7.56,2000103600006
Apetit peruna-sipulisekoitus1kg kotim pa,1.59,6430104924409
Porkkana pesty 1lk,1.49,2000610500004
,,6416021000389
,,6438706177346
Atria Hiillos makkarapihvi 320g,1.95,6407880080582
Pirkka for men varsiterä 2-teräinen 5kpl,1.35,6410400046449
Taffel Kartanon dip 16g timj/karhunlaukk,0.99,6410381095825
K-Menu mozzarellajuustoraaste 250g,1.79,6410405136602
Pirkka Parhaat porsaan sisäpaisti 130g,2.25,6410405157973
"Paistopiste hintaryhmä: 0,39",0.0,6410405142252
Tuorekurkku Suomi.,2.79,2000604700007
Vaasan ruispalat ohut herkku 12kpl /390g,2.39,6408180733901
Arla jogurtti 200g puolukka-vanilja,0.4,6413300000191
Myllyn Paras piparitaikina 500g lton,1.79,6417700067501
Pirkka Acidofilus-Bifidus piimä 1 l,1.25,6410402024957
Pirkka laktoositon maitojuoma 1 l rton,1.2,6410405095916
K-Menu vadelmaleivoskeksi 300g,0.99,6410405140562
Valio Oltermanni 250g,2.39,6408430339556
Saarioinen porkkanalaatikko 400g,3.29,6412000030200
L&M savuke 24kpl Original Label,7.6,7622100938507
Valio Kiehu maitojuoma 1l,1.79,6408430000586
Pirkka jääsalaatti 100g pussi Suomi 1lk,1.25,6410405093677
Pirkka Banaani/Del monte 1lk,1.39,2000818700008
Juhla Mokkakahvi 500g sj,3.95,6411300000494
Santa Maria perunamauste 33g,0.62,7311311004667
Sipuli irto,1.19,2000613700005
Tuorekurkku Suomi.,2.79,2000604700007
K-Menu uunimakkara 400g,1.09,6410405164063
,,2000230000007
Valio vapaan lehmän rasvaton maito 1l,0.95,6408430000104
PORVOON HERKKU LAKRITSI,7.56,2000960300002
"Paistopiste hintaryhmä: 0,79",0.0,6410405142269
Listerine suuvesi 500ml Prof Fluoride,7.29,3574661056524
Atria lenkki 500g punainen,2.35,6407870074218
Pirkka rasvaton maito 1 l,0.59,6410405082626
Fitfarm Fit Bar 35g juustokakku,0.99,6430039782549
