name,price,ean
Satsuma,1.89,2000528000009
Puikulaperuna,1.89,2000617800008
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Puikulaperuna,1.89,2000617800008
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Kahvi,1.3,2000809600003
Puikulaperuna,1.89,2000617800008
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Puikulaperuna,1.89,2000617800008
Satsuma,1.89,2000528000009
Keräkaali,1.25,2000602400008
Bataatti,3.29,2000600100009
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Sitruuna,2.69,2000528900002
Kahvi,1.3,2000809600003
Pihvitomaatti,4.99,2000614600007
Pihvitomaatti,4.99,2000614600007
Valkosipuli,5.95,2000615100001
Valkosipuli,5.95,2000615100001
Kaalikääryle,13.9,2000204500007
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Bataatti,3.29,2000600100009
Valkosipuli,5.95,2000615100001
Satsuma,1.89,2000528000009
Sitruuna,2.69,2000528900002
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Granaattiomena,2.49,2000504500004
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Puikulaperuna,1.89,2000617800008
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Kahvi,1.3,2000809600003
Satsuma,1.89,2000528000009
Kahvi,1.3,2000809600003
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Puikulaperuna,1.89,2000617800008
Kurpitsa,2.69,2000604900001
Puikulaperuna,1.89,2000617800008
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Keräkaali,1.25,2000602400008
Herkkusienisalaatti,0.0,2000232600007
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Kahvi,1.3,2000809600003
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Kirjolohifilee,19.99,2000456700002
Kahvi,1.3,2000809600003
Puikulaperuna,1.89,2000617800008
Bataatti,3.29,2000600100009
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Satsuma,1.89,2000528000009
Keräkaali,1.25,2000602400008
